,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
98,5089,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.565586035,0.600990243,0.631667132,0.677067083,0.750809061,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Marion,Arkansas
99,5091,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.52935613,0.575555253,0.658102636,0.69293496,0.70188304,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Miller,Arkansas
100,5097,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.569136133,0.598029308,0.652954169,0.695945946,0.742624333,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Arkansas
101,5101,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.644003056,0.634764733,0.653535354,0.685058727,0.766053824,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Newton,Arkansas
102,5105,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.527576741,0.54953735,0.641037626,0.655408837,0.698560149,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Perry,Arkansas
103,5109,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.572903551,0.597861598,0.687594554,0.751583949,0.791258478,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Pike,Arkansas
104,5113,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.639510635,0.665726375,0.71253743,0.77077401,0.804033532,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Polk,Arkansas
105,5115,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.610357182,0.651325232,0.705104398,0.722295611,0.72028003,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Pope,Arkansas
106,5117,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.530938124,0.560154525,0.657497782,0.685450493,0.727351916,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Prairie,Arkansas
107,5125,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.574758421,0.63145063,0.693816765,0.700416472,0.688349328,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Saline,Arkansas
108,5127,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.602612409,0.622585438,0.698623279,0.722802198,0.778062678,republican,republican,republican,republican,republican,FALSE,FALSE,FALSE,FALSE,FALSE,Scott,Arkansas
